business_id,act_code,act_descr,auth_cap
121,2410,"Sản xuất sắt, thép, gang",16000000000
308,2012,Sản xuất phân bón và hợp chất ni tơ,9000000000
563,2220,Sản xuất sản phẩm từ plastic,63000000000
645,1410,May trang phục (trừ trang phục từ da lông thú),769317786300
682,4632,Bán buôn thực phẩm,1500000000
715,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",4900000000
888,5610,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,9900000000
950,5510,Dịch vụ lưu trú ngắn ngày,3000000000
957,4620,"Bán buôn nông, lâm sản nguyên liệu (trừ gỗ, tre, nứa) và động vật sống",3500000000
964,5510,Dịch vụ lưu trú ngắn ngày,3000000000
992,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",300000000000
1136,3290,Sản xuất khác chưa được phân vào đâu,45004500000
1143,2610,Sản xuất linh kiện điện tử,25212000000
1197,1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",46200000000
1198,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",50000000000
1323,4632,Bán buôn thực phẩm,1900000000
1324,5610,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,1900000000
1325,4771,"Bán lẻ hàng may mặc, giày dép, hàng da và giả da trong các cửa hàng chuyên doanh",1900000000
1327,5610,Nhà hàng và các dịch vụ ăn uống phục vụ lưu động,3200000000
1333,5510,Dịch vụ lưu trú ngắn ngày,1900000000
1589,4690,Bán buôn tổng hợp,1900000000
1590,4690,Bán buôn tổng hợp,1900000000
1591,4690,Bán buôn tổng hợp,1900000000
1593,4690,Bán buôn tổng hợp,4900000000
1594,5510,Dịch vụ lưu trú ngắn ngày,1900000000
1595,4690,Bán buôn tổng hợp,1900000000
1596,4690,Bán buôn tổng hợp,1900000000
1792,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",20000000000
1819,4933,Vận tải hàng hóa bằng đường bộ,9000000000
1823,1520,Sản xuất giày dép,25000000000
1832,4100,Xây dựng nhà các loại,4500000000
1850,5210,Kho bãi và lưu giữ hàng hóa,20000000000
1858,1621,"Sản xuất gỗ dán, gỗ lạng, ván ép và ván mỏng khác",2000000000
1994,3290,Sản xuất khác chưa được phân vào đâu,8000000000
2096,1410,May trang phục (trừ trang phục từ da lông thú),5000000000
2120,6810,"Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",68000000000
2179,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",10000000000
2349,4663,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",20000000000
2460,1629,"Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện",5000000000
2481,2395,"Sản xuất bê tông và các sản phẩm từ bê tông, xi măng và thạch cao",100000000000
2632,4520,"Bảo dưỡng, sửa chữa ô tô và xe có động cơ khác",1000000000
